cdid,digitalCommonsURL,digitalCommonsPdfURL,persistentID,circuit,court,state,stateClaim,judge,judgeFullName,judgeFirstName,judgeMiddleName,judgeLastName,judgeSuffix,lawsuitFiledYear,lawsuitFiledDate,cdFiledYear,cdSignedYear,cdFiledDate,caseNumber,versionNumber,caseName,cdSignedDate,effectiveDate,durationNumberOfYears,durationText,plaintiffsAttorneysFees,internComments,cdCreateDate,lastModifiedDate,lastModifiedBy,hidden,hiddenDate
316,http://digitalcommons.ilr.cornell.edu/condec/301/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1300&amp;context=condec,07-Civ-2083-WHP-HP-1,2nd,Southern District of New York,New York,False,,William H. Pauley III,William,H.,Pauley,III,Unknown,,2010,2010,2010-09-30 00:00:00,07 Civ. 2083 (WHP)(HP),1,United States of America v. City of New York and New York City Department of Transportation,2010-09-30 00:00:00,,0,,"11. The United States and the Defendants shall bear their own costs and fees in this action, except that the parties shall retain the right to seek costs and fees for any matter which, in the future, may arise from this Agreement or from the Compliance Injunction and require resolution by the Court.  (Page, 6)",,2013-08-05 12:04:22.970000000,2017-08-03 10:40:51.877000000,,False,
317,http://digitalcommons.ilr.cornell.edu/condec/306/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1301&amp;context=condec,98-CV-1772-FJS-TWD-1,2nd,United States District Court Northern District of New York,New York,False,,Frederick J. Scullin,Frederick,J.,Scullin,,1998,1998-11-17 00:00:00,2013,Unknown,2013-01-09 00:00:00,98-CV-1772 (FJS) (TWD),1,EEOC v. Carrols Corp.,,,2,Two,,,2014-06-11 09:42:24.750000000,2014-06-26 16:40:08.797000000,,False,
318,http://digitalcommons.ilr.cornell.edu/condec/317/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1316&amp;context=condec,2-11-cv-06-183-AB-1,3rd,The United States District Court For the Eastern District of Pennsylvania,Pennsylvania,False,,Anita B. Brody,Anita,B.,Brody,,Unknown,,2012,2012,2012-01-06 00:00:00,2:11-cv-06:183-AB,1,"EEOC v. Matrix, L.L.C.",2012-01-04 00:00:00,,3,Three,"(7) Within fifteen business days of the entry of this Decree, Defendant shall pay counsel of record for Barbara Palermi, Clifton Packer, Calvin Church, Derrik Jones, and Reginald Byrd, Timothy A. Berger, Esq., $2,000 representing attorneys' fees. The check will be sent directly to Timothy A. Bergex, Esq., Paul, Flandreau & Berger, LLP, 320 W. Front Street, Media, PA 19063, and a photocopy of the check and related correspondence will be mailed to the EEOC, Philadelphia District Office, attention Natasha L. Abel, 801 Market Street, Suite 1300, Philadelphia, PA 19107. This payment will be reported for tax purposes on United States Internal Revenue Service Forms 1099, and $400.00 will be attributable to each of the Charging Parties listed in this Paragraph 7 for tax purposes.  

(8) Within fifteen business days of the entry of this Decree, Defendant shall pay Earl Hudson's counsel of record, Milton Savage, Esq., $500.00 representing attorneys' fees. The check will be sent directly to Milton Savage, Esq., Law Offices, 1616 Walnut Street, Suite 814, Philadelphia, PA 19103, and a photocopy of the check and related correspondence will be mailed to the EEOC, Philadelphia District Office, attention Natasha L. Abel.  (Page, 5)",Bloomberg is needed to find an updated docket  - 6/30/14 CY,2014-06-11 12:19:20.153000000,2014-06-30 10:06:03.077000000,,False,
319,http://digitalcommons.ilr.cornell.edu/condec/305/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1302&amp;context=condec,CV-08-0946-PHX-GMS-2,9th,United States District Court for the State of Arizona,Arizona,False,,Judge Grant Murray Snow,Judge Grant,Murray,Snow,,Unknown,,2009,2009,2009-12-04 00:00:00,CV-08-0946 PHX GMS,2,"EEOC v. SWMW Management, Inc., Bell Road Automall, Inc., and Big Bell 21 LLC, d/b/a Bell Road Kia",2009-12-04 00:00:00,12/04/2009,3,Three,"COSTS AND DURATION 
27. Each party shall bear its costs and attorney's fees incurred as a result of this action through the filing of this Decree.  (Page, 10)",6/11/14- Bloomberg Law is needed to find the court docket.,2014-06-11 12:35:49.473000000,2015-08-03 14:19:13.533000000,,False,
320,http://digitalcommons.ilr.cornell.edu/condec/304/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1303&amp;context=condec,CV-09-5609-RBL-1,9th,The United States District Court for the Western District of Washington at Tacoma,Washington,False,,Ronald B. Leighton,Ronald,B.,Leighton,,2009,2009-09-30 00:00:00,2011,2011,2011-07-18 00:00:00,CV 09-5609 RBL,1,"EEOC & Deborah Berntsen & Lorrie Haskins v. Mason County Forest Products, LLC, & Long Bell Ventures, LLC",2011-07-18 00:00:00,,3,Three,,,2014-06-11 12:39:33.723000000,2014-06-26 15:12:15.820000000,,False,
321,http://digitalcommons.ilr.cornell.edu/condec/757/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1783&amp;context=condec,2-06-cv-02624-2,10th,District of Colorado,Colorado,False,,Judge Richard P. Matsch,Judge Richard,P.,Matsch,,Unknown,,Unknown,2016,,2:06-cv-02624,2,"Equal Employment Opportunity Commission, Plaintiff, v. Vail Run Resort Community Association, Inc. d/b/a Vail Run Resort; and Global Hospitality Resorts, Inc., Defendants.",2016-02-11 00:00:00,02/11/2016,5,five (5) years,"XI. COSTS AND ATTORNEY'S FEEES
48. Other than as provide for and specified in this Decree, each party shall be responsible for and shall pay its own costs and attorney�s fees. (Page, 23)",,2014-06-11 15:35:04.113000000,2016-08-03 16:57:06.447000000,,False,
322,http://digitalcommons.ilr.cornell.edu/condec/302/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1305&amp;context=condec,1-08-cv-00804-JRN-1,5th,United States District Court for the Western District of Texas Austin Division,Texas,False,,Judge James Robertson Nowlin,Judge James,Robertson,Nowlin,,2008,2008-10-29 00:00:00,2009,2009,2009-07-22 00:00:00,1:08-cv-00804-JRN,1,Hubley and Guenther v. Dell Inc.,2009-11-11 00:00:00,"II. GENERAL TERMS OF THE SETTLEMENT AGREEMENT. 
A. Definitions.
8. ""Effective Date"" means the date upon which all of the following have occurred: (1) entry of an order by the Court certifying the Settlement Class; (2) entry of an order or orders by the Court granting final approval to the Settlement Agreement, approving the amount of attorneys' fees and costs and dismissing the Action, with continuing jurisdiction limited to enforcing the Settlement Agreement; and (3) the appeal period (i.e.,, 30 days) has run without an appeal of any Court order, or in the event of an appeal, the Parties have received actual notice that the settlement has received final approval after completion of the appellate process and the final resolution of any appeals.  (Page, 6)",3,"II. GENERAL TERMS OF THE SETTLEMENT AGREEMENT. 
B. Duration of the Settlement. The programmatic relief embodied in this Settlement Agreement shall remain binding on the Parties and their agents and successors for a three (3) year period following the Effective Date.  (Page, 9)","IV. MONETARY RELIEF. 
A. Settlement Fund. No later than ten (10) days after Final Approval, Dell shall, by wire transfer, provide to the Claims Administrator the amount of Five Million, 
Six Hundred Thousand Dollars ($5,600,000) (the ""Settlement Fund""). The $5.6 million will be placed in an interest-bearing account approved by Class Counsel (the ""Settlement Fund Account"") with a unique Tax Payer Identifier Number. The Settlement Fund Account will constitute a qualified settlement fund and it will be created, managed and disbursed by the Claims Administrator under the supervision of the Parties. Except as provided herein, Dell will have no responsibilities with respect to the administration of the Settlement Fund Account, including any distribution therefrom. The Settlement Fund shall be divided as follows, provided the Court finally approves the Settlement: 
(1) a total gross amount of Four Million, Five Hundred Thousand Dollars ($4,500,000) plus interest, the sum of which will be allocated for the payment of all individual monetary awards to Class Members, including individual monetary awards to Named Plaintiff Jill Hubley of Fifty Thousand Dollars ($50,000.00) and Named Plaintiff Laura Guenther of Twenty-Five Thousand Dollars ($25,000.00) for their service to the class; and 
(2) a total gross amount of One Million, One Hundred Thousand Dollars ($1,100,000) to pay Class Counsel's attorneys' fees and costs, including those fees and costs in connection with seeking Court approval of the Settlement, the claims process and monitoring of the Settlement Agreement,  (Pages, 12-13)

VII. ATTORNEYS' FEES AND EXPENSES OF CLASS COUNSEL. 
Following Final Approval, including the approval of Class Counsel's attorneys' fees and costs, and within thirty (30) days after the Effective Date, the Claims Administrator will pay Class Counsel the amount of One Million, One Hundred Thousand Dollars ($1,100,000) as attorneys' fees and costs, directly from the Settlement Fund. At least seven days prior to the date of payment, Class Counsel will provide the Claims Administrator with taxpayer identification numbers for Class Counsel and executed Forms W-9.   (Page, 26)","6/11/14 A.B. 
-The clearinghouse website has a different signed date than the case I have printed, but the dates are not too far apart. I'm not sure if that means that there is a more recent version of the case or not.  
-Clearinghouse also lists more attorneys for both parties than are listed in the document I have.",2014-06-11 16:59:49.657000000,2014-06-26 15:19:54.983000000,,False,
323,http://digitalcommons.ilr.cornell.edu/condec/315/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1306&amp;context=condec,1-09-CV-04449-1,3rd,The United States District Court For the Eastern District of Pennsylvania,Pennsylvania,False,,Judge Petrese B. Tucker,Judge Petrese,B.,Tucker,,Unknown,,2010,Unknown,2010-09-20 00:00:00,1:09-CV-04449,1,"EEOC v. Cintas Corporation, et al.",,,1,One (1) year,"22. The Commission and Defendants shall bear their own costs and attorney's fees. (Page, 9)",Bloomberg Law is needed to find an updated court docket. - 6/24/2014 CY,2014-06-24 13:55:45.063000000,2016-08-01 11:08:45.577000000,,False,
324,http://digitalcommons.ilr.cornell.edu/condec/314/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1307&amp;context=condec,1-07-cv-2964-1,6th,United States District Court Northern District of Ohio Eastern Division,Ohio,False,,Solomon Oliver Judge,Solomon,,Oliver,Judge,2007,2007-09-27 00:00:00,2010,Unknown,2010-07-21 00:00:00,1:07-cv-2964,1,"EEOC v. Area Temps, Inc.",,,3,Three,,Bloomberg Law is needed to find an updated court docket. 6/24/2014 CY,2014-06-24 15:48:38.140000000,2014-06-26 14:52:27.203000000,,False,
325,http://digitalcommons.ilr.cornell.edu/condec/313/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1308&amp;context=condec,2-04-cv-01349-LRL-LRL-1,9th,United States District Court of Nevada,Nevada,False,,Lawrence R. Leavitt Judge,Lawrence,R.,Leavitt,Judge,2004,2004-09-01 00:00:00,2008,2008,2008-04-25 00:00:00,2:04-cv-01349-LRL-LRL,1,EEOC v. River Palms Resort,2008-03-28 00:00:00,,3,Three,,,2014-06-25 09:24:49.880000000,2014-06-26 15:10:30.193000000,,False,
326,http://digitalcommons.ilr.cornell.edu/condec/312/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1309&amp;context=condec,2-05-cv-04786-CG-1,3rd,The United States District Court For the Eastern District of Pennsylvania,Pennsylvania,False,,Clifford Scott Green,Clifford,Scott,Green,,2005,2005-09-07 00:00:00,2006,Unknown,2006-05-26 00:00:00,2:05-cv-04786-CG,1,"EEOC v. Eastern Engineered Wood Products, Inc.",,,2,Two,"18, Each party to this Decree shall bear its own expenses, costs and attorneys' fees. (Page, 7)",Original file has weird symbols. 6/25/2014 -CY,2014-06-25 12:11:48.023000000,2014-06-26 15:03:42.267000000,,False,
327,http://digitalcommons.ilr.cornell.edu/condec/311/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1310&amp;context=condec,3-05-cv-00292-MRK-1,2nd,United States District Court for District of Connecticut,Connecticut,False,,Mark R. Kravitz,Mark,R.,Kravitz,,2005,2005-02-17 00:00:00,2006,2006,2006-09-28 00:00:00,3:05-cv-00292-MRK,1,"EEOC v. David Lerner Associates, Inc.",2006-09-28 00:00:00,10/06/2006,3,Three,,,2014-06-25 14:23:44.773000000,2014-06-26 14:47:49.097000000,,False,
328,http://digitalcommons.ilr.cornell.edu/condec/307/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1312&amp;context=condec,6-07-cv-06635-MAT-1,2nd,United States District Court Western District of New York,New York,False,,Judge Michael Anthony Telesca,Judge Michael,Anthony,Telesca,,2007,2007-12-21 00:00:00,2008,2008,2008-05-08 00:00:00,6:07-cv-06635-MAT,1,"Ebon Bonnette, et al. individually and on behalf of a class of all other similarly situated persons v. Rochester Gas & Electric Co.",2008-05-08 00:00:00,"I- DEFINITIONS 
I. I The ""Civil Action"" means the above-captioned action. 
1. 10 ""Effective Date"" means the date upon which all of the following have occurred: (I) entry of an order by the Court certifying the Settlement Class, (2) entry of an order or orders by the Court granting final approval to the Agreement, approving the amount of attorneys' fees and costs and dismissing this action in accordance with its terms, (3) the appeal period (""i.e., 30 days) has run without an appeal of any Court order, or in the event of an appeal, the Parties have received actual notice that the settlement has received final approval after the completion of the appellate process, and (4) the period for RG&E to withdraw from the Agreement (Le., 30 days from the Claims Administrator's receipt of all timely and complete requests for exclusion submitted by a Class Representative and/or Proposed Class Member) has run.",1,One,"IV. ATTORNEYS' FEES, LITIGATION COSTS, CLAIMS ADMINISTRATION COSTS, AND SERVICE PAYMENTS. 
4.1 Within thirty (30) days of the Effective Date, the Claims Administrator will pay Class Counsel attorneys' fees in the amount of 33% of the Settlement Fund ($660,000.00), and expenses in an amount not to exceed $90,000.00. Class Counsel's total expenses as of the date of this Settlement Agreement are $79,594.61. These payments shall be made provided that they are approved by the Court. The Claims Administrator shall pay the attorneys' fees and costs directly from the Settlement Fund, and the payment will reduce the Settlement Fund awarded to the Settlement Class. At least seven days prior to the date of payment, Class Counsel will provide the Claims Administrator with tax-payer identification numbers for Class Counsel and executed Form W-9s. 
4.2 The Claims Administrator will also pay, from the Settlement Fund, each of the Named Plaintiffs a gross amount of fifteen thousand dollars ($15,000) (in addition to their Settlement Share) for their services on behalf of the class (the ""Service Payment""), provided the Court approves such payment, and provided they do not opt-out of the Settlement. The Claims Administrator will pay the aforementioned Service Payment to each Named Plaintiff within thirty (30) days after the Effective Date. Each Named Plaintiff shall also be entitled to receive their Settlement Share of the Settlement Fund provided they do not opt-out of the Settlement. The Claims Administrator shall pay the Service Payment directly from the Settlement Fund, and such payment will reduce the Settlement Fund awarded to the Settlement Class. If any Named Plaintiff declines to join the Settlement, (hey will not be eligible to receive a Service Payment. If any Named Plaintiff declines to join the Settlement, or requests to be excluded from the Settlement, then RG&E shall have the absolute right to withdraw in writing from the Agreement, subject to the provisions of paragraph 10.2 of this Agreement. 
4.3 The Claims Administrator will pay to itself, from the Settlement Fund, the Claims Administrator a total amount not to exceed $40,000, provided the Court approves such payment, to cover the reasonable costs of the Notice and of the administration of this Settlement (the ""Claims Administration costs""). 
4.4 Except for the fees, costs and other expenses set forth in this Section, and except as provided in paragraphs 4.1, 4.2, 4.3, and 4.4 herein, the Parties and the Settlement Class shall bear responsibility for their own fees, costs and expenses incurred by them or arising out of this litigation and will not seek reimbursement thereof from any party to this Agreement or the Released Parties. 
V. ALLOCATION AND PAYMENT OF THE SETTLEMENT FUND 
5.1 Each Qualified Claimant shall be paid a pro rata portion of the Settlement Fund, remaining subject to the reductions described above, based on a formula set forth in paragraph 8.2, subject to the terms of this Agreement, and based upon a properly filed Claim Form. 
5.2 The monies payable to Qualified Claimants and Named Plaintiffs out of the remaining Settlement Fund, including the Service payments, will be allocated in the following manner: 50% of the payment each receives will be allocated in settlement of their claims for back pay and 50% will be allocated in settlement of their claims for compensatory and punitive damages, including emotional distress. The Claims Administrator will withhold from the back pay portion of each payment all applicable taxes under federal, state and/or local laws. The Claims Administrator will ensure that such monies withheld are paid to the appropriate authorities for each Qualified Claimant and Named Plaintiff and will issue IRS Forms W-2 and 1099 for the amounts reportable on each Form. 
5.3 For purposes of tax reporting, the Claims Administrator will allocate among the Qualified Claimants and Named Plaintiffs a share of attorneys' fees and costs paid by the Claims Administrator in proportion to the point allocation of each Qualified Claimant and Named Plaintiff. The Claims Administrator will issue to each Qualified Claimant and Named Plaintiff an IRS Form 1099 to reflect the amounts of attorneys' fees and costs allocated to each of them and shall issue an appropriate IRS 1099 form to Class Counsel for the attorneys' fees and costs paid. 
5.4 The Claims Administrator shall distribute the remainder of the Settlement Fund to the Qualified Claimants no later than thirty (30) days after the Effective Date. The face of each check sent to Qualified Claimants shall clearly state that the check must be cashed within one hundred and twenty (120) calendar days. All payments distributed by the Claims Administrator must be accompanied by a cover letter stating words in bold to the effect that ""the check must be cashed within one hundred and twenty (120) calendar days or it will become void."" The back of each check will contain a legend stating: ""By negotiating this check and accepting payment I agree that I have waived and released the Released Parties from all Released Claims as defined in the Settlement Agreement and in the Notice in this matter."" Qualified Claimants must sign the check in the space following the legend, provided that the release of claims shall still be enforceable if any Qualified Claimant is permitted to negotiate a check without a signature. 
5.5 Payments made under this Agreement are not intended to and will not: (l) form the basis for additional contributions to, benefits under, or any other monetary entitlement under; (2) count as earnings or compensation with respect to; or (3) be considered to apply to, or be applied for purposes of, Defendant's bonus, pension, any 401 (k) and/or other retirement plans or similar programs, including but not limited to the Rochester Gas & Electric Retirement Savings Plan and the Rochester Gas & Electric Pension Plan. Defendant retains the right, if necessary, to modify the language of its benefit plans and pension, bonus and other programs, if necessary, to make clear that any amounts paid pursuant to this Agreement are not for hours worked, hours paid or any similar measuring term as defined by any plans and programs for purposes of eligibility, vesting, benefit accrual or any other purpose.
5.6 The Claims Administrator shall be responsible for remitting to the tax authorities Defendant's share of payroll taxes for the settlement payments which amount Defendant shall provide to the Claims Administrator. Such payments shall not act in any way to reduce the Settlement Fund and will not be paid out of the Settlement Fund.","A.B. 6/25/14
-there is a 2008 ""preliminary approving settlement agreement"" for this decree
-there is no explicit duration date in the decree, so I entered 1 year since the clearinghouse website noted that the 'case closing year' was 1 year after the effective date
-a judge's name and the signed date were not explicitly stated in the text so I entered the information that was on the clearinghouse website
-age is listed as a basis of discrimination but no laws specific to age were cited as having been violated",2014-06-25 14:27:38.437000000,2015-08-03 11:07:54.197000000,,False,
329,http://digitalcommons.ilr.cornell.edu/condec/310/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1311&amp;context=condec,3-04-cv-00793-HTW-JCS-1,5th,The United States Court for the Southern District of Mississippi Jackson Divison,Mississippi,False,,Henry T. Wingate,Henry,T.,Wingate,,2004,2004-09-29 00:00:00,2006,2006,2006-04-07 00:00:00,3:04-cv-00793-HTW-JCS,1,EEOC v. Hannon's Food Services of Jackson (d/b/a Kentucky Fried Chicken),2006-04-07 00:00:00,,2,None on record,"19. Each party to this Decree shall bear its own expenses, costs and attorneys' fees.  (Page, 9)",,2014-06-25 15:37:23.477000000,2014-06-26 15:07:38.277000000,,False,
330,http://digitalcommons.ilr.cornell.edu/condec/309/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1313&amp;context=condec,1-05-cv-01704-KOB-1,11th,United States District Court for the Northern District of Alabama Eastern Division,Alabama,False,,Karon Owen Bowdre,Karon,Owen,Bowdre,,2005,2005-08-11 00:00:00,2006,2006,2006-11-07 00:00:00,1:05-cv-01704-KOB,1,EEOC v. Tyson Foods,2006-11-07 00:00:00,,3,Three,"21. Costs and Attorneys� Fees: Tyson agrees to pay the reasonable attorneys� fees and costs of counsel to the Individual Plaintiffs within ten (10) days of the effective date of the Consent Decree.  (Page, 11)",Also a Final Judgment; Bloomberg is needed to find an updated docket; expungement clause - 06/26/2014 CY,2014-06-26 09:29:41.090000000,2014-06-26 15:00:44.780000000,,False,
331,http://digitalcommons.ilr.cornell.edu/condec/316/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1315&amp;context=condec,CV-02-3780-JNE-JJG-1,8th,United States District Court for the District of Minnesota,Minnesota,False,,Judge Joan N. Ericksen,Judge Joan,N.,Ericksen,,2002,2002-10-02 00:00:00,2006,Unknown,2006-09-18 00:00:00,CV 02-3780 (JNE/JJG),1,"Gwen Carlson, et al. v. C.H. Robinson Worldwide, Inc.",,"V. EFFECT AND DURATION OF THE CONSENT DECREE 
5.1 Effect of Consent Decree. Upon the Effective Date, the Consent Decree shall constitute an order of the Court and all of its provisions will become enforceable by the Parties in the manner set forth in this Consent Decree. The Parties agree that, pursuant to Sections 5.2 and 6.2 of this Consent Decree, they shall not appeal from the Consent Decree or the Court's Order.",2,"V. EFFECT AND DURATION OF THE CONSENT DECREE 
5.3 Expiration Date. This Consent Decree shall expire and shall be without any force or effect two (2) years from the Effective Date, unless extended by agreement of the Parties.","XIV. MONETARY RELIEF 
14.1 Settlement Fund. No later than 14 days after Preliminary Approval of this Consent Decree, C.H. Robinson shall cause to be paid by wire transfer to the Depository Bank (pursuant to transfer instructions to be provided by Class Counsel within seven days after Preliminary Approval of the Consent Decree) the sum of Fifteen Million Dollars ($15,000,000.00). The monies so transferred, together with interest subsequently earned thereon, shall constitute the Settlement Fund. The $15 million Settlement Fund shall constitute all the funds or monies to be paid by C.H. Robinson in connection with and in consideration for: (1) the resolution of the Class Claims and Individually Named Plaintiffs' Claims; (2) this Consent Decree (and incorporated and referenced Exhibits); and (3) the dismissal of Counts I, II and IV of the Second Amended Complaint filed in the Litigation. This sum is inclusive of payment for: (1) all awards to and on behalf of the Class Members and Named Plaintiffs; (2) attorneys' fees and expenses of the Classes and Named Plaintiffs; (3) all costs of notice and settlement administration;

XVI. ATTORNEYS' FEES AND COSTS 
16.1 Attorneys' Fees And Costs. Class Counsel shall submit a fee application to the Court sufficiently in advance of the Fairness Hearing so that the issue may be addressed at the Fairness Hearing and C.H. Robinson may file any responsive or other pleadings as it deems appropriate. Class Counsel's fee application shall be submitted no later than the date on which the Parties fully agree as to the form of the Consent Decree. The Court shall determine the attorneys' fees, as well as costs and expenses of the Litigation, to be paid to Class Counsel out of the Settlement Fund at the time of final approval of this Consent Decree. Such fees, costs and expenses shall include time to be spent in the future defending the Consent Decree, enforcing the Consent Decree, conferring with Class Members, reviewing the reports of C.H. Robinson, conferring with C.H. Robinson's counsel, or any other legal work to be performed by Class Counsel related to monitoring, administration, and/or implementation of this Consent Decree. 
16.2 Release Of Any Claims For Attorneys' Fees And Costs. C.H. Robinson shall have no obligation under this Consent Decree to pay any money for attorneys' fees and costs to Class Counsel, except as expressly set forth in this Consent Decree. Except as otherwise provided herein, C.H. Robinson shall not be liable for any of the Named Plaintiffs' costs or attorneys' fees, statutory or otherwise, incurred in the Litigation or during the term of the Consent Decree. 
16.3 Costs Of Employment Practices. The costs and expenses for administering the employment practices in Section 9 of the Consent Decree shall be paid exclusively by C.H. Robinson.","A.B. 6/26/2014
-this is a settlement agreement and consent decree",2014-06-26 10:07:43.073000000,2014-06-27 09:10:25.667000000,,False,
332,http://digitalcommons.ilr.cornell.edu/condec/308/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1314&amp;context=condec,4-02-00519-CV-W-DW-ECF-1,8th,The United States District Court for the Western District of Missouri Western Division,Missouri,False,,Dean Whipple,Dean,,Whipple,,2002,2002-05-31 00:00:00,2005,2005,2005-01-21 00:00:00,4:02-00519-CV-W-DW-ECF,1,EEOC v. Consolidated Freightways Corporation of Delaware,2005-01-21 00:00:00,,0,None on Record,"17. The parties shall bear their own costs and attorneys� fees.  (Page, 6)",No duration date - CY 6/25/14,2014-06-26 10:59:01.720000000,2014-06-26 15:11:08.407000000,,False,
333,http://digitalcommons.ilr.cornell.edu/condec/485/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1514&amp;context=condec,3-04-cv-00231-TMB-1,9th,United States District Court for the District of Alaska,Alaska,False,,Ralph R. Beistline,Ralph,R.,Beistline,,2004,2004-03-10 00:00:00,2006,Unknown,2006-01-17 00:00:00,3:04-cv-00231-TMB,1,EEOC v. Alyeska Pipeline Service Co.,,,2,Two,,,2014-06-26 11:41:12.173000000,2015-07-23 15:13:08.280000000,,False,
334,http://digitalcommons.ilr.cornell.edu/condec/318/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1317&amp;context=condec,CV-04-0229-DAE-RAM-1,9th,United States District Court District of Nevada,Nevada,False,,Judge David A. Ezra,Judge David,A.,Ezra,,Unknown,,2008,2008,2008-09-05 00:00:00,CV-04-0229-DAE-RAM,1,"EEOC v. Scolari's Warehouse Markets, Incorporated, A Nevada Corporation, D/B/A Scolari's Food and Drug",2008-09-05 00:00:00,"V. EFFECTIVE DATE AND DURATION OF DECREE 
A. The provisions and agreements contained herein are effective immediately upon the date which this Decree is entered by the Court (""the Effective Date"").",3,"V. EFFECTIVE DATE AND DURATION OF DECREE 
B. Except as otherwise provided herein, this Decree shall remain in effect for three (3) years after the Effective Date.","XIII. COSTS AND ATTORNEYS' FEES 
Each party shall bear its own costs of suit and attorneys' fees.",,2014-06-30 15:56:14.537000000,2015-08-03 10:51:04.803000000,,False,
335,http://digitalcommons.ilr.cornell.edu/condec/319/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1318&amp;context=condec,3-05-CV-1379L-1,5th,United States District Court for the Northern District of Texas Dallas Division,Texas,False,,Judge Sam A. Lindsay,Judge Sam,A.,Lindsay,,Unknown,,2008,2008,2008-03-10 00:00:00,3:05-CV-1379L,1,"EEOC & Mitchel, et al., v. Allied Aviation Services, Inc., Allied Aviation Fueling of Dallas, LP, Allied Aviation Fueling Company of Texas, Inc.",2008-03-10 00:00:00,,3,19. The term of this Decree shall be for three (3) years.,"12. Without making any admission of liability or agreeing that any violation of federal, state or local law, statute or regulation took place, but instead only to compromise and resolve disputed claims, Defendants agree to pay $ 1,885,000.00 to resolve all claims for damages to the Intervenors, including attorney�s fees. The Intervenors shall be responsible for any tax liability arising out of the payment and shall indemnify and hold Defendants harmless therefrom.","A.B. 7/1/2014
-the lawsuit filed date and the court filed date are not specified in the text or in Clearinghouse",2014-07-01 09:15:51.420000000,2015-07-24 10:30:19.837000000,,False,
336,http://digitalcommons.ilr.cornell.edu/condec/320/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1319&amp;context=condec,1-04-cv-02706-N-D-Ill-1,7th,United States District Court for the Northern District of Illinois Eastern Division,Illinois,False,,Geraldine Soat Brown,Geraldine,Soat,Brown,,Unknown,,2004,2004,2004-12-13 00:00:00,1:04-cv-02706 ( N.D. Ill. ),1,EEOC v. Regal-Beloit Corporation,2004-12-13 00:00:00,,2,Two,"19. Each party to this Decree shall hear its own expenses, costs and attorneys' fees.  (Page, 8)",,2014-07-01 11:26:19.030000000,2014-07-01 11:55:38.250000000,,False,
337,http://digitalcommons.ilr.cornell.edu/condec/323/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1322&amp;context=condec,10-CV-06179-GHK-SJHx-1,9th,United States District Court for the Central District of California,California,False,,Judge George H. King,Judge George,H.,King,,Unknown,,2011,2011,2011-11-22 00:00:00,10-CV-06179-GHK (SJHx),1,"EEOC v. AHMC Garfield Medical Center LP dba Garfield Medical Center, Inc., and Does 1-10, Inclusive",2011-11-22 00:00:00,"V. 
EFFECTIVE DATE AND DURATION OF DECREE 
A. The provisions and agreements contained herein are effective immediately on the date which this Decree is entered by the Court (""Effective Date"").",3,"V. 
EFFECTIVE DATE AND DURATION OF DECREE 
B. The Decree shall remain in effect for three (3) years after the Effective Date and will expire on its own terms, unless the EEOC consents to terminate the Decree after two years (as set forth below) or the Court grants an extension upon motion by the EEOC. 
C. If Medical Center demonstrates compliance with the Decree for a period of two years, the Decree may be terminated with the consent of the EEOC. Although consent shall not be unreasonably withheld, whether or not compliance has been demonstrated is a matter to be determined by the EEOC in its sole discretion.","XIII. 
COSTS AND ATTORNEYS' FEES 
Each Party shall bear its own costs of suit and attorneys' fees.","A.B. 7/1/2014
-decree not located in clearinghouse
-the 'filed in court' date is listed as the same date the decree was signed",2014-07-01 12:04:28.423000000,2014-07-01 14:05:38.143000000,,False,
